Product Name	Reviewer Name	Rating	Review Text	Date	Review Count	Avg Rating
Mustard Microgreens	Aditi H.	5	Fresh and peppery, exactly what I wanted for wraps.	2 weeks ago	1	5
Mustard Microgreens	Nikhil R.	4	Great flavor and very clean greens.	10 days ago	2	4.5
Mustard Microgreens	Pooja V.	5	Excellent quality. Adds a perfect kick to salads.	1 week ago	3	4.7
Mustard Microgreens	Sagar M.	5	Super fresh harvest and quick delivery.	6 days ago	4	4.8
Mustard Microgreens	Isha K.	4	Loved the taste and neat packaging.	5 days ago	5	4.6
Mustard Microgreens	Dev A.	5	Really premium batch, spicy and crunchy.	4 days ago	6	4.7
Mustard Microgreens	Ritu P.	4	Consistent freshness, works great in sandwiches.	3 days ago	7	4.6
Mustard Microgreens	Harsh T.	5	Very good quality and shelf life.	2 days ago	8	4.6
Mustard Microgreens	Meera S.	5	Best mustard microgreens I have bought locally.	Yesterday	9	4.7
Mustard Microgreens	Kunal B.	4	Good product overall, will reorder.	Today	10	4.6

Radish Microgreens	Sonali G.	5	Crisp and peppery, perfect for my daily salad.	2 weeks ago	1	5
Radish Microgreens	Akash J.	5	Very fresh batch with strong flavor.	10 days ago	2	5
Radish Microgreens	Neha P.	4	Good quality and clean greens.	1 week ago	3	4.7
Radish Microgreens	Rohit M.	4	Nice taste in sandwiches and wraps.	6 days ago	4	4.5
Radish Microgreens	Ira N.	5	Fresh harvest and excellent crunch.	5 days ago	5	4.6
Radish Microgreens	Varun K.	5	Loved it in soups and bowls.	4 days ago	6	4.7
Radish Microgreens	Kavya S.	4	Great product, slight spice is perfect.	3 days ago	7	4.6
Radish Microgreens	Ankit R.	5	Well packed and delivered on time.	2 days ago	8	4.6
Radish Microgreens	Priyanka D.	4	Super fresh and nutritious.	Yesterday	9	4.6
Radish Microgreens	Deepak L.	5	Consistent quality every order.	Today	10	4.6

Broccoli Microgreens	Riya M.	5	Very fresh and mild flavor, easy to use daily.	2 weeks ago	1	5
Broccoli Microgreens	Aman V.	4	Good quality and quick delivery.	10 days ago	2	4.5
Broccoli Microgreens	Shreya K.	5	Loved adding this to smoothies.	1 week ago	3	4.7
Broccoli Microgreens	Manav P.	5	Crisp texture and clean taste.	6 days ago	4	4.8
Broccoli Microgreens	Diya S.	5	Excellent batch, highly nutritious.	5 days ago	5	4.8
Broccoli Microgreens	Karan N.	4	Packaging was good and greens stayed fresh.	4 days ago	6	4.7
Broccoli Microgreens	Nisha T.	5	Great for salads and lunch bowls.	3 days ago	7	4.7
Broccoli Microgreens	Arnav B.	4	Nice quality, would like slightly bigger pack.	2 days ago	8	4.6
Broccoli Microgreens	Megha R.	5	Fresh, tender, and tasty.	Yesterday	9	4.7
Broccoli Microgreens	Rakesh C.	5	Best broccoli microgreens I have tried.	Today	10	4.7

Beetroot Microgreens	Anu P.	4	Beautiful color and fresh taste.	2 weeks ago	1	4
Beetroot Microgreens	Sameer K.	5	Very good quality and quick delivery.	10 days ago	2	4.5
Beetroot Microgreens	Jyoti N.	4	Nice earthy flavor in salads.	1 week ago	3	4.3
Beetroot Microgreens	Tanmay R.	5	Great freshness and crunch.	6 days ago	4	4.5
Beetroot Microgreens	Roshni D.	5	Loved it in smoothie bowls.	5 days ago	5	4.6
Beetroot Microgreens	Vivek S.	4	Good product and clean packaging.	4 days ago	6	4.5
Beetroot Microgreens	Simran A.	5	Fresh batch with vibrant stems.	3 days ago	7	4.6
Beetroot Microgreens	Ajay M.	4	Tastes great with sandwiches.	2 days ago	8	4.5
Beetroot Microgreens	Pallavi T.	5	Excellent quality and nutrition.	Yesterday	9	4.6
Beetroot Microgreens	Hemant G.	4	Reliable freshness every week.	Today	10	4.5

Wheatgrass	Nandini R.	5	Very fresh and perfect for morning shots.	2 weeks ago	1	5
Wheatgrass	Sumit P.	4	Good quality wheatgrass, easy to juice.	10 days ago	2	4.5
Wheatgrass	Asha K.	4	Clean and fresh but flavor is strong as expected.	1 week ago	3	4.3
Wheatgrass	Prateek N.	5	Great energy boost after workouts.	6 days ago	4	4.5
Wheatgrass	Ritu J.	5	Excellent harvest, very vibrant greens.	5 days ago	5	4.6
Wheatgrass	Gautam S.	4	Good shelf life and neat packaging.	4 days ago	6	4.5
Wheatgrass	Sana M.	5	Works well in my daily detox routine.	3 days ago	7	4.6
Wheatgrass	Aditya T.	4	Fresh blades and easy to blend.	2 days ago	8	4.5
Wheatgrass	Komal V.	5	Best wheatgrass quality I have found nearby.	Yesterday	9	4.6
Wheatgrass	Rahul D.	4	Consistent quality and timely delivery.	Today	10	4.5
